candidate_rank,total_error,slope_before,slope_after
10,28.346413980546203,-0.1494021838267729,-0.006863588714501184
11,27.800195730428772,-0.13694029510631528,-0.006758846933998863
12,27.24936477103808,-0.12665733010932134,-0.006652747709035442
13,26.922988922894923,-0.11611377854309163,-0.006566955436892327
14,26.656783915530568,-0.1068816443078062,-0.006486521457424205
15,26.48209078813396,-0.09850669625928649,-0.006414904546665795
16,26.353833544943583,-0.09112632287825777,-0.006348079097728443
17,26.25690964735845,-0.08463847997185624,-0.006284738711535981
18,26.100614647487262,-0.07932911163384652,-0.006215156431631563
19,25.99649418355259,-0.07445718798661143,-0.006151234021412169
20,25.90398551288338,-0.070130491252726,-0.006088683152821225
21,25.89408924718554,-0.06598470148578015,-0.006035888113854977
22,25.799847347500418,-0.06261160881015095,-0.005973366159454277
23,25.70038137001376,-0.05961156583279774,-0.005910110300189286
24,25.62373851847529,-0.056840760113354,-0.005849560034683655
25,25.543549530423554,-0.05434908262215377,-0.005788462084936205
26,25.450183484556312,-0.05212579163465859,-0.0057254844519261175
27,25.368145971329916,-0.050069996235590115,-0.005663760605533696
28,25.339949471820496,-0.048055485943631925,-0.005609131896046164
29,25.33349933634159,-0.046157962984431825,-0.005557552639970827
30,25.34695732062211,-0.04436921874385686,-0.005508925991516388
31,25.32719827008306,-0.04279386866971911,-0.005455655653655626
32,25.303032160851185,-0.041347005251037225,-0.00540169365057417
33,25.287133186584008,-0.03998959083926437,-0.005348892632003714
34,25.29402820068333,-0.038685003307732634,-0.00529954607484185
35,25.341653702076037,-0.03739558701223741,-0.0052566850924500585
36,25.37300540759742,-0.03622220306192468,-0.005211479329490773
37,25.4000309564363,-0.03513310194535106,-0.005165710405483238
38,25.452882941510836,-0.03407039132812072,-0.005124402963214189
39,25.543792872654265,-0.03301220241771012,-0.005089943243918482
40,25.614770008188756,-0.032049039699133225,-0.005052497638918092
41,25.67095676571561,-0.03116498955174607,-0.0050127419522891375
42,25.735243505598753,-0.030319615802677953,-0.00497472187281725
43,25.780022671668398,-0.02954949612211486,-0.0049332984363515305
44,25.805850948527194,-0.028847794243242002,-0.0048883382009346985
45,25.8335907296515,-0.028180773621728262,-0.004843709234044025
46,25.892868272835216,-0.02750673797669808,-0.004805346802955926
47,25.929676928884092,-0.02689583776911022,-0.004762576564316882
48,25.969945545293264,-0.02631089807371515,-0.004720516838265038
49,26.00004899112252,-0.025766761728571765,-0.004676302656094953
50,26.040731988403785,-0.02523581638919993,-0.004634281646659275
51,26.069114184378087,-0.02474384992629656,-0.004589529056457674
52,26.078142785853522,-0.02429619863017808,-0.004540306666295797
53,26.074829297652943,-0.02388203149028935,-0.004487977710613773
54,26.074168215760068,-0.02348290451902621,-0.004435853184202924
55,26.08370647317215,-0.02308996896398241,-0.004385712684275848
56,26.09754165340621,-0.022709003887109246,-0.004336246196644043
57,26.121434667953885,-0.02233352946684529,-0.004288882814125053
58,26.15192939506189,-0.02196667528568061,-0.004242876578329901
59,26.174357313486773,-0.02162209855910046,-0.004194615176245104
60,26.19615773416779,-0.021291467554962733,-0.004145878659587068
61,26.218875294199947,-0.020972566718093073,-0.004097042983053221
62,26.251479914583072,-0.020656629702848095,-0.004050467682376841
63,26.298620681829448,-0.020339388339532787,-0.004007518326444914
64,26.328177873180955,-0.020048958353531737,-0.003959612724114693
65,26.36079340505955,-0.019766213961361842,-0.003912223472022355
66,26.38898700899621,-0.019497049657704407,-0.0038632652873395387
67,26.419268607073295,-0.01923538786908848,-0.003814528382322378
68,26.46117501909977,-0.018973123929078926,-0.003768811133662871
69,26.51169013605172,-0.018712699298812183,-0.003725378750252143
70,26.583023661010564,-0.018444414626168155,-0.0036880592807091595
71,26.66606705049444,-0.018175620345142307,-0.0036543943217845053
72,26.74883263273577,-0.017915447623627734,-0.003620813636644701
73,26.83478824682134,-0.017660868083562053,-0.0035884306409405455
74,26.900994841887446,-0.017428738409833687,-0.003549756172687081
75,26.955969696290744,-0.017211852206704147,-0.003507264014315
76,26.99996029058765,-0.017009372171735225,-0.0034608205013426513
77,27.03842727446581,-0.016816766104687873,-0.0034121087583788064
78,27.075228245238627,-0.016630886091714196,-0.0033623752012688496
79,27.114275450996423,-0.01644872793136571,-0.003312977086368846
80,27.146279643666702,-0.016276483214744307,-0.0032605431830073067
81,27.157863202412578,-0.01612272252370566,-0.0031999598297293205
82,27.162317766461996,-0.01597780397120057,-0.0031358583260162037
83,27.16615891426656,-0.015837089584571633,-0.003070579664925948
84,27.164635192969172,-0.015703441020367588,-0.0030022419380166133
85,27.155089850917705,-0.015578207796996427,-0.0029296811258329534
86,27.15314175742223,-0.015451356043109979,-0.00285894845790529
87,27.154075093344154,-0.015325860703405782,-0.002788229934361215
88,27.161610558059362,-0.015199459997454633,-0.0027190638847364636
89,27.178453335379764,-0.015070625514052118,-0.002652661209852544
90,27.198601380657777,-0.01494296741962445,-0.0025866284555341058
91,27.22894996082561,-0.014812501416682769,-0.0025239651043791386
92,27.265964998700056,-0.014681346770941258,-0.0024633125272965593
93,27.292614158372505,-0.014559045464142748,-0.002397201891034595
94,27.317854531133165,-0.014440325794550428,-0.0023294233349702813
95,27.355929516868812,-0.01431731488736741,-0.0022664702309037298
96,27.416679387337226,-0.014184877892341035,-0.0022132483647670734
97,27.497210901723932,-0.014044833441031187,-0.0021689751078203014
98,27.559055409642976,-0.01391770337222481,-0.00211536660012167
99,27.607267835177094,-0.013800453594477418,-0.0020543818066942592
100,27.643867094540802,-0.01369171785984129,-0.0019866322749678336
